player+team,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,group,year
beNca,250,1.34,261.3,1.45,0.74,161.0,0.95,0.14,0.66,0.22,0.11,0.28,0.14,challengers,2025
madsMDK,1191,1.34,260.0,1.38,0.78,171.9,0.93,0.31,0.68,0.12,0.06,0.21,0.18,gc,2023
AlexyFLCV,983,1.34,254.1,1.57,0.81,165.1,0.91,0.28,0.58,0.15,0.11,0.24,0.15,gc,2024
JapipsASND,391,1.34,245.5,1.54,0.81,158.7,0.92,0.34,0.59,0.06,0.05,0.31,0.16,gc,2024
Jade,1559,1.34,245.5,1.42,0.8,156.5,0.89,0.52,0.63,0.09,0.04,0.32,0.21,gc,2024
florescentAPK,339,1.33,296.4,1.45,0.76,183.5,1.04,0.15,0.71,0.26,0.16,0.28,0.12,challengers,2023
florescentAPK,433,1.33,290.0,1.42,0.73,188.1,1.0,0.21,0.71,0.19,0.13,0.26,0.14,challengers,2024
LoganQOR,263,1.33,279.5,1.45,0.74,175.7,0.95,0.19,0.65,0.22,0.16,0.21,0.1,challengers,2023
yanbry,753,1.33,278.4,1.38,0.76,178.7,0.99,0.21,0.71,0.19,0.12,0.49,0.22,gc,2024
MicrooLL,708,1.33,276.6,1.45,0.78,176.1,0.99,0.21,0.68,0.17,0.1,0.35,0.17,gc,2024
marteenKC,1086,1.33,275.1,1.46,0.78,176.7,0.98,0.25,0.67,0.18,0.1,0.25,0.17,challengers,2023
elfieMKS,886,1.33,268.3,1.36,0.75,174.2,0.95,0.27,0.69,0.15,0.1,0.27,0.21,gc,2024
Serixh,364,1.33,266.7,1.36,0.74,173.9,0.91,0.2,0.67,0.15,0.11,0.26,0.18,challengers,2025
onniEOTO,418,1.33,266.5,1.39,0.72,168.8,0.94,0.28,0.67,0.17,0.13,0.25,0.13,gc,2024
StarBoundWADA,1269,1.33,259.7,1.51,0.77,167.7,0.92,0.19,0.61,0.12,0.07,0.2,0.16,gc,2023
MinimiseKING,242,1.33,257.2,1.64,0.84,150.5,0.88,0.5,0.53,0.21,0.08,0.16,0.0,challengers,2025
LightningfastVLT,534,1.33,249.4,1.52,0.83,154.5,0.89,0.46,0.59,0.09,0.07,0.34,0.37,challengers,2025
BobFLY,741,1.33,239.9,1.49,0.81,158.8,0.84,0.38,0.57,0.1,0.06,0.26,0.21,gc,2023
none2G.GC,846,1.32,307.6,1.45,0.72,195.9,1.05,0.21,0.72,0.27,0.17,0.24,0.24,gc,2025
BuffalaPWR,261,1.32,301.0,1.36,0.75,107.1,1.01,0.3,0.74,0.23,0.17,0.23,0.11,gc,2025
MeaSOL.GC,248,1.32,296.7,1.35,0.7,186.9,1.04,0.15,0.77,0.23,0.15,0.33,0.04,gc,2024
huh,254,1.32,287.2,1.37,0.78,185.9,1.01,0.28,0.74,0.17,0.12,0.19,0.29,gc,2024
f4ngeerKCBS,217,1.32,282.6,1.41,0.77,175.3,1.01,0.15,0.71,0.25,0.1,0.3,0.13,challengers,2023
LizhiEDGS,231,1.32,282.1,1.48,0.76,177.1,0.98,0.23,0.66,0.24,0.14,0.25,0.08,gc,2023
ChloettwQYG,320,1.32,267.4,1.45,0.83,173.5,0.91,0.31,0.63,0.09,0.06,0.15,0.31,gc,2024
SayonaraVIT.RE,875,1.32,266.4,1.46,0.78,172.4,0.95,0.33,0.65,0.15,0.08,0.33,0.18,challengers,2024
yuchan,549,1.32,266.4,1.42,0.76,179.4,0.96,0.28,0.68,0.17,0.13,0.29,0.12,gc,2024
malibuNOOT,268,1.32,264.8,1.46,0.77,172.4,0.91,0.37,0.63,0.15,0.09,0.36,0.45,gc,2023
elfieMKS,264,1.32,261.5,1.41,0.81,162.4,0.89,0.35,0.63,0.12,0.07,0.23,0.23,gc,2025
sKizzoEsG,378,1.32,261.2,1.44,0.73,171.1,0.94,0.21,0.65,0.16,0.08,0.26,0.2,challengers,2023
edithYDZ.M,1032,1.32,261.0,1.53,0.76,165.1,0.92,0.2,0.6,0.2,0.12,0.28,0.29,gc,2024
nephhBLG,202,1.32,246.5,1.58,0.83,153.0,0.89,0.28,0.56,0.11,0.04,0.3,0.18,challengers,2024
ViciJDG,739,1.32,220.7,1.57,0.79,148.3,0.82,0.29,0.52,0.05,0.05,0.29,0.13,challengers,2023
DihawkSNG,446,1.31,309.5,1.39,0.74,199.1,1.06,0.23,0.76,0.22,0.18,0.27,0.07,gc,2023
MapleCCG,244,1.31,281.1,1.38,0.75,183.3,0.95,0.35,0.69,0.19,0.14,0.25,0.29,challengers,2023
miNtFL.GC,730,1.31,277.6,1.5,0.74,174.4,1.01,0.14,0.68,0.22,0.13,0.35,0.19,gc,2023
kaajakFNC,1240,1.31,273.6,1.49,0.75,174.5,1.0,0.18,0.67,0.24,0.13,0.39,0.17,challengers,2024
YOMEDRX.C,349,1.31,259.1,1.43,0.77,165.8,0.91,0.34,0.63,0.13,0.11,0.22,0.16,gc,2023
EmiSL9,1004,1.31,255.7,1.44,0.77,163.8,0.91,0.33,0.63,0.16,0.1,0.25,0.25,gc,2024
sinatraaSEN,371,1.31,252.5,1.3,0.8,163.9,0.87,0.34,0.67,0.09,0.05,0.16,0.19,challengers,2023
monerRGE,429,1.31,247.6,1.47,0.75,163.6,0.92,0.22,0.62,0.1,0.12,0.28,0.2,challengers,2025
JackkBZK,345,1.31,236.8,1.35,0.77,157.9,0.84,0.4,0.62,0.05,0.06,0.37,0.26,challengers,2025
LOBSZ,518,1.31,235.7,1.58,0.82,151.3,0.87,0.38,0.55,0.06,0.05,0.28,0.29,challengers,2023
wavedLEV.GC,1412,1.3,294.8,1.43,0.75,190.5,1.01,0.21,0.7,0.24,0.15,0.29,0.16,gc,2024
MaryFLCV,602,1.3,288.8,1.43,0.74,188.0,1.01,0.17,0.71,0.26,0.16,0.3,0.24,gc,2023
none2G.GC,1025,1.3,288.2,1.41,0.76,183.2,1.01,0.2,0.72,0.24,0.15,0.23,0.21,gc,2023
tomixBSTL,307,1.3,282.3,1.32,0.74,186.5,1.01,0.2,0.76,0.18,0.12,0.36,0.17,challengers,2024
SWERLNOVA,621,1.3,280.6,1.43,0.74,182.5,0.99,0.21,0.69,0.22,0.14,0.28,0.28,challengers,2023
splashRRQA,235,1.3,278.4,1.33,0.78,172.8,1.02,0.19,0.77,0.2,0.13,0.25,0.33,challengers,2023
jdk,207,1.3,278.1,1.42,0.74,176.4,1.0,0.13,0.71,0.18,0.09,0.38,0.07,challengers,2024
ScarlettARC,244,1.3,273.4,1.31,0.74,182.7,0.95,0.24,0.72,0.21,0.17,0.29,0.25,challengers,2024
miiigz,286,1.3,272.1,1.31,0.75,173.9,0.95,0.37,0.73,0.14,0.1,0.32,0.25,gc,2024
dodonutSRG,890,1.3,271.3,1.4,0.77,178.9,0.93,0.22,0.67,0.16,0.15,0.22,0.21,gc,2023
AyumiiiRRQ.K,1674,1.3,270.1,1.43,0.77,170.4,0.95,0.24,0.66,0.23,0.14,0.22,0.27,gc,2023
tylerboyTR,543,1.3,263.3,1.43,0.78,171.9,0.93,0.19,0.65,0.19,0.12,0.26,0.08,challengers,2023
SendyClaireMeli,342,1.3,257.8,1.39,0.77,166.9,0.91,0.25,0.65,0.13,0.05,0.23,0.18,gc,2024
ducq5 BI,222,1.3,255.8,1.29,0.71,173.6,0.89,0.28,0.69,0.09,0.08,0.27,0.18,challengers,2024
fabiziNMIX,380,1.3,251.8,1.43,0.78,162.7,0.91,0.33,0.64,0.13,0.09,0.27,0.24,challengers,2024
terrorSG,1788,1.3,250.2,1.37,0.76,162.1,0.87,0.37,0.64,0.11,0.07,0.32,0.17,gc,2024
SarayaBSX,445,1.3,250.2,1.38,0.8,132.7,0.92,0.43,0.67,0.11,0.08,0.36,0.27,gc,2025
SkRossiVLT,534,1.3,248.2,1.56,0.78,167.4,0.91,0.22,0.59,0.16,0.09,0.29,0.24,challengers,2025
strixxT69,278,1.3,242.3,1.4,0.79,151.6,0.87,0.29,0.62,0.05,0.04,0.21,0.32,challengers,2024
LumoSZ,468,1.3,241.5,1.39,0.78,153.4,0.86,0.43,0.62,0.08,0.08,0.26,0.22,challengers,2023
inoEnte,269,1.3,241.2,1.43,0.76,153.5,0.9,0.38,0.62,0.09,0.11,0.36,0.27,challengers,2023
JoliinaaSK.N,1735,1.3,241.0,1.35,0.8,155.5,0.85,0.49,0.63,0.09,0.05,0.23,0.22,gc,2023
mmonchKRÜ.B,583,1.3,239.4,1.35,0.79,157.9,0.83,0.38,0.62,0.11,0.08,0.3,0.23,gc,2023
MuddyNBG,303,1.3,237.9,1.36,0.78,153.8,0.85,0.34,0.63,0.06,0.05,0.35,0.23,challengers,2024
DragonKING,242,1.3,236.1,1.59,0.84,154.3,0.86,0.5,0.54,0.11,0.06,0.31,0.24,challengers,2025
Dark3stQOR,545,1.3,234.4,1.36,0.82,151.6,0.8,0.59,0.59,0.13,0.09,0.26,0.24,challengers,2023
DaviHCGN,1095,1.3,233.7,1.53,0.79,151.0,0.85,0.38,0.56,0.11,0.06,0.25,0.19,challengers,2023
shiraziNOVA.GC,1369,1.3,227.3,1.55,0.82,146.9,0.82,0.37,0.53,0.12,0.05,0.23,0.24,gc,2023
bethanySL9,213,1.3,207.5,1.58,0.84,137.3,0.78,0.44,0.5,0.06,0.06,0.23,0.35,gc,2025
KadoomSPE,932,1.29,299.8,1.38,0.79,187.6,1.0,0.24,0.72,0.27,0.17,0.24,0.13,challengers,2023
MyoH4nNEOTO,606,1.29,290.9,1.39,0.74,185.4,0.99,0.2,0.71,0.25,0.15,0.24,0.22,gc,2023
SpringWOL,287,1.29,285.5,1.33,0.8,177.0,0.98,0.18,0.74,0.2,0.15,0.31,0.05,vct,2023
miNtFL.GC,915,1.29,282.4,1.42,0.73,180.4,1.01,0.15,0.71,0.26,0.16,0.34,0.19,gc,2024
majusiaNOVO.NI,656,1.29,275.7,1.49,0.75,159.4,0.97,0.18,0.65,0.24,0.14,0.32,0.28,gc,2025
leeniFKS.S,742,1.29,275.5,1.34,0.74,180.4,0.96,0.23,0.72,0.18,0.14,0.19,0.26,gc,2023
dodonutSRG,2488,1.29,273.0,1.42,0.78,174.7,0.94,0.24,0.66,0.22,0.14,0.23,0.18,gc,2024
CoreIluZ,590,1.29,253.5,1.33,0.78,167.7,0.89,0.45,0.67,0.12,0.08,0.25,0.15,challengers,2024
eneriiFLCV,371,1.29,249.1,1.6,0.8,159.8,0.92,0.25,0.58,0.17,0.09,0.29,0.16,gc,2025
mmonchKRÜ.B,406,1.29,243.9,1.7,0.82,155.5,0.91,0.18,0.53,0.12,0.06,0.38,0.21,gc,2025
BobFLY,412,1.29,242.2,1.37,0.76,165.3,0.86,0.35,0.62,0.09,0.06,0.35,0.2,challengers,2023
FizzyMOUZ,1095,1.29,242.0,1.54,0.79,160.6,0.88,0.21,0.57,0.09,0.06,0.24,0.2,challengers,2023
NearRVNN,204,1.29,235.8,1.34,0.75,100.1,0.84,0.26,0.63,0.07,0.04,0.26,0.22,challengers,2025
FezisssRBT,383,1.29,235.1,1.41,0.76,157.5,0.86,0.37,0.61,0.11,0.09,0.36,0.3,challengers,2024
Pucca,284,1.29,234.1,1.34,0.77,152.4,0.8,0.47,0.6,0.09,0.09,0.19,0.22,gc,2023
KohaibiALG.GC,1479,1.29,231.6,1.57,0.84,157.2,0.85,0.28,0.54,0.11,0.07,0.25,0.23,gc,2023
pl1xxWOL,342,1.29,227.0,1.19,0.78,154.9,0.78,0.31,0.66,0.07,0.03,0.19,0.03,vct,2023
VaniaG2.G,1344,1.29,226.5,1.42,0.81,145.3,0.81,0.43,0.57,0.08,0.05,0.38,0.22,gc,2024
MocoFL.GC,304,1.29,214.3,1.38,0.81,135.3,0.76,0.55,0.55,0.06,0.05,0.21,0.28,gc,2025
MikuKTN.GC,792,1.28,305.5,1.31,0.75,188.3,1.02,0.26,0.78,0.28,0.18,0.17,0.22,gc,2023
EmiSL9,213,1.28,292.0,1.49,0.78,192.8,1.0,0.3,0.68,0.23,0.12,0.24,0.46,gc,2025
StayWADA,243,1.28,289.5,1.33,0.68,188.3,1.0,0.16,0.75,0.25,0.15,0.34,0.28,gc,2023
currySEN,234,1.28,281.8,1.39,0.75,176.1,0.95,0.26,0.68,0.25,0.17,0.2,0.13,challengers,2023
LiedAKV.GC,1334,1.28,275.3,1.35,0.75,179.5,0.96,0.26,0.71,0.2,0.13,0.25,0.2,gc,2024
eneriiFLCV,1111,1.28,270.7,1.49,0.79,175.6,0.97,0.24,0.65,0.2,0.15,0.27,0.25,gc,2023
iZuT1,927,1.28,267.6,1.42,0.76,166.4,0.94,0.15,0.66,0.21,0.15,0.26,0.18,challengers,2023
RRcDT,257,1.28,258.2,1.48,0.76,165.7,0.93,0.18,0.63,0.18,0.12,0.31,0.19,gc,2024
HakuNaRIG.L,280,1.28,257.3,1.39,0.72,171.6,0.89,0.23,0.64,0.13,0.11,0.27,0.27,gc,2023
SucetteTWIS.O,324,1.28,254.1,1.43,0.78,169.8,0.94,0.26,0.66,0.16,0.06,0.32,0.15,gc,2024
JulesNB,260,1.28,248.9,1.26,0.8,157.3,0.88,0.5,0.7,0.1,0.1,0.27,0.14,gc,2024
n1zzyTS,1182,1.28,234.9,1.38,0.81,153.4,0.82,0.44,0.59,0.1,0.07,0.33,0.16,challengers,2023
sarahcatSRG,279,1.28,234.2,1.46,0.8,155.9,0.82,0.33,0.56,0.07,0.06,0.25,0.32,gc,2025
66JTACO,333,1.28,232.3,1.35,0.81,157.0,0.8,0.39,0.6,0.08,0.06,0.26,0.21,challengers,2023
Liliy,295,1.28,226.7,1.31,0.75,154.6,0.81,0.33,0.62,0.04,0.04,0.31,0.17,gc,2025
KADIRIKING,242,1.28,226.2,1.73,0.84,147.2,0.86,0.21,0.5,0.09,0.03,0.32,0.18,challengers,2025
conirKRÜ.B,406,1.28,219.6,1.48,0.83,147.6,0.78,0.53,0.53,0.08,0.08,0.29,0.27,gc,2025
tenac1ousSRP,226,1.27,281.8,1.28,0.77,173.3,0.95,0.32,0.74,0.19,0.11,0.21,0.14,challengers,2023
Leen,1226,1.27,279.4,1.43,0.73,179.7,0.98,0.18,0.69,0.2,0.15,0.33,0.2,gc,2024
HYUNMINDRX,516,1.27,279.3,1.36,0.75,185.1,0.97,0.18,0.71,0.18,0.11,0.28,0.13,challengers,2024
Arcane,414,1.27,279.1,1.32,0.77,188.7,0.97,0.29,0.74,0.13,0.11,0.33,0.2,gc,2024
josieXinh,284,1.27,278.9,1.34,0.71,181.1,0.96,0.26,0.72,0.21,0.14,0.3,0.1,gc,2025
wetysaoFUE,521,1.27,277.2,1.34,0.73,184.2,0.97,0.18,0.73,0.2,0.15,0.23,0.09,challengers,2023
AyumiiiRRQ.K,261,1.27,275.4,1.42,0.75,171.7,0.93,0.2,0.66,0.22,0.15,0.18,0.38,gc,2025
TenTenZETA,1104,1.27,269.2,1.34,0.73,168.4,0.93,0.18,0.69,0.23,0.16,0.2,0.12,challengers,2023
lover,1200,1.27,258.2,1.34,0.72,172.4,0.91,0.19,0.68,0.15,0.12,0.24,0.2,gc,2024
h4steMIR.GC,509,1.27,249.9,1.38,0.79,154.6,0.87,0.49,0.63,0.15,0.1,0.28,0.27,gc,2025
neongodBlat,277,1.27,241.6,1.39,0.81,153.8,0.87,0.21,0.62,0.18,0.14,0.23,0.14,challengers,2023
anesiliaKC.GC,1134,1.27,239.7,1.3,0.79,156.9,0.83,0.39,0.64,0.09,0.05,0.22,0.18,gc,2023
DarkerEXL,724,1.27,233.4,1.39,0.81,150.6,0.84,0.47,0.61,0.08,0.04,0.29,0.25,challengers,2025
L4CEFLY,1107,1.27,233.3,1.37,0.79,149.4,0.84,0.4,0.61,0.09,0.06,0.3,0.17,gc,2023
quekECA,353,1.27,232.5,1.36,0.77,153.1,0.84,0.28,0.62,0.07,0.06,0.29,0.27,gc,2025
xcool3SDB,500,1.27,230.8,1.44,0.76,156.4,0.88,0.2,0.62,0.07,0.06,0.31,0.15,challengers,2024
zero capMFC,414,1.27,225.1,1.47,0.77,150.4,0.84,0.29,0.57,0.06,0.05,0.31,0.14,challengers,2023
alannahSL9,213,1.27,218.5,1.5,0.85,149.5,0.8,0.23,0.54,0.09,0.05,0.29,0.29,gc,2025
YusinALG.GC,364,1.27,217.8,1.39,0.77,137.8,0.8,0.52,0.58,0.06,0.03,0.22,0.24,gc,2023
txddyMIBR.AC,234,1.27,215.8,1.38,0.8,138.1,0.76,0.44,0.55,0.1,0.07,0.29,0.27,challengers,2023
angelicXBR.W,204,1.26,300.4,1.26,0.73,192.3,0.99,0.21,0.78,0.24,0.17,0.2,0.0,gc,2024
AkitaG2.G,1090,1.26,293.0,1.36,0.74,186.1,1.0,0.24,0.74,0.23,0.16,0.28,0.23,gc,2024
yuchan,220,1.26,291.5,1.3,0.74,190.4,1.0,0.21,0.76,0.27,0.18,0.34,0.18,gc,2025
KlamranYDZ,208,1.26,289.8,1.47,0.74,177.9,1.0,0.18,0.68,0.25,0.16,0.22,0.17,challengers,2023
flow3r,200,1.26,281.4,1.2,0.77,186.0,0.95,0.21,0.79,0.22,0.1,0.32,0.2,gc,2024
adoraHERO,1233,1.26,281.2,1.36,0.73,181.2,0.98,0.19,0.72,0.22,0.14,0.29,0.13,gc,2023
lleanaFSC,779,1.26,273.7,1.28,0.73,174.7,0.95,0.27,0.74,0.19,0.14,0.28,0.12,gc,2023
aNNjaNSR.IN,662,1.26,271.9,1.32,0.7,178.6,0.97,0.18,0.73,0.18,0.16,0.37,0.18,gc,2024
SWERLNOVA,284,1.26,271.5,1.32,0.75,178.6,0.96,0.19,0.73,0.23,0.13,0.27,0.3,vct,2023
