player,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,year
hoodyFKS,973,1.09,207.2,1.06,0.73,138.4,0.72,0.34,0.68,0.09,0.09,0.25,0.1,2023
sociablEEBBL,244,1.09,228.5,1.12,0.73,144.8,0.8,0.2,0.72,0.11,0.13,0.22,0.14,2025
LumoSZ,358,1.09,197.7,1.09,0.76,126.2,0.7,0.37,0.64,0.06,0.05,0.22,0.25,2023
leafG2,891,1.09,236.3,1.1,0.71,153.5,0.82,0.25,0.74,0.19,0.18,0.23,0.23,2023
FrancisNS,381,1.08,214.3,1.04,0.75,141.9,0.73,0.37,0.7,0.08,0.07,0.23,0.11,2025
crashiesFNC,1437,1.08,195.0,1.08,0.77,128.1,0.69,0.4,0.64,0.06,0.07,0.27,0.2,2023
somethingPRX,1798,1.08,219.0,1.12,0.73,140.5,0.78,0.22,0.69,0.17,0.13,0.26,0.13,2024
JremyTS,897,1.08,240.9,1.12,0.74,154.9,0.81,0.2,0.73,0.23,0.21,0.24,0.15,2024
d4v41PRX,1798,1.08,199.1,1.06,0.76,133.1,0.7,0.38,0.66,0.07,0.06,0.29,0.16,2024
sheydosMKOI,712,1.08,186.4,1.09,0.73,124.1,0.7,0.25,0.64,0.05,0.05,0.27,0.17,2023
baluaGA,288,1.08,220.8,1.05,0.78,141.5,0.75,0.44,0.71,0.07,0.08,0.23,0.16,2023
free1ngDRX,511,1.08,213.6,1.15,0.74,140.2,0.77,0.24,0.67,0.11,0.08,0.29,0.15,2025
EstrellaRRQ,269,1.08,181.4,1.04,0.77,122.0,0.64,0.46,0.62,0.06,0.07,0.31,0.2,2025
Cryocells100T,752,1.08,224.1,1.08,0.71,143.9,0.78,0.25,0.73,0.18,0.16,0.21,0.08,2023
EthanNRG,1659,1.08,196.1,1.01,0.77,124.6,0.67,0.55,0.66,0.07,0.06,0.2,0.2,2023
ZmjjKKEDG,1002,1.08,267.1,1.31,0.69,155.9,0.95,0.17,0.72,0.19,0.16,0.19,0.14,2023
SUYGETSUKC,1311,1.08,198.1,1.14,0.73,134.5,0.72,0.21,0.64,0.08,0.06,0.33,0.12,2023
pANcadaLOUD,258,1.08,198.6,1.06,0.75,131.9,0.7,0.32,0.66,0.08,0.06,0.38,0.06,2025
FlashbackDRX,961,1.07,213.1,1.12,0.71,139.4,0.76,0.23,0.68,0.1,0.08,0.3,0.19,2024
MeiyDFM,620,1.07,246.2,1.08,0.69,160.4,0.87,0.15,0.8,0.21,0.18,0.26,0.12,2024
