player+team,rounds_played,vlr_rating,acs,kd,kast,adr,kpr,apr,dpr,fkpr,fdpr,hs_percent,cl_percent,year
BarrettBZK,345,1.25,238.6,1.33,0.75,151.5,0.86,0.25,0.65,0.1,0.07,0.34,0.18,2025
17leanndroAUS,248,1.25,257.2,1.24,0.73,170.5,0.89,0.21,0.72,0.21,0.13,0.33,0.19,2025
romiLEV.GC,735,1.25,240.9,1.5,0.78,155.7,0.87,0.23,0.58,0.11,0.06,0.27,0.19,2023
BobbiexoNOVO.NI,990,1.25,215.3,1.33,0.76,146.6,0.8,0.27,0.6,0.06,0.06,0.27,0.2,2023
MaraHWSF,565,1.25,246.4,1.24,0.77,160.4,0.87,0.39,0.7,0.09,0.07,0.19,0.16,2023
Chimochi,236,1.25,245.7,1.32,0.75,163.4,0.85,0.32,0.64,0.08,0.08,0.24,0.14,2023
amyG2.G,1869,1.25,243.7,1.4,0.74,162.8,0.89,0.14,0.64,0.11,0.09,0.35,0.17,2023
conirKRÜ.B,735,1.25,230.9,1.36,0.79,153.2,0.83,0.42,0.61,0.11,0.07,0.29,0.18,2023
popogachiIGZ,686,1.25,259.8,1.34,0.74,172.7,0.9,0.32,0.67,0.11,0.1,0.25,0.17,2024
pl1xxWOL,230,1.25,252.7,1.43,0.74,163.7,0.9,0.33,0.63,0.1,0.07,0.21,0.17,2023
wackieJL,1004,1.25,231.6,1.36,0.79,148.3,0.83,0.38,0.61,0.1,0.08,0.28,0.21,2024
SyouTaZETA,1575,1.25,235.3,1.33,0.76,151.8,0.84,0.35,0.63,0.11,0.08,0.28,0.13,2023
vaLSNX.F,217,1.25,269.3,1.26,0.73,173.0,0.91,0.23,0.72,0.16,0.09,0.29,0.06,2024
CendaryLLX,671,1.25,289.1,1.24,0.8,187.5,0.99,0.41,0.8,0.17,0.11,0.26,0.14,2024
KPRF.GC,358,1.25,235.3,1.44,0.76,153.0,0.87,0.33,0.6,0.11,0.08,0.26,0.19,2024
winterRZN,1024,1.25,278.9,1.33,0.74,178.5,0.96,0.23,0.72,0.18,0.13,0.27,0.16,2024
xandFUR,282,1.25,241.6,1.42,0.76,167.4,0.87,0.18,0.61,0.14,0.07,0.29,0.24,2024
AkaiFLC,1684,1.25,280.8,1.37,0.73,180.0,0.98,0.17,0.72,0.2,0.17,0.27,0.24,2024
madaNRG,868,1.25,268.0,1.33,0.76,171.6,0.93,0.19,0.69,0.25,0.13,0.26,0.13,2024
JellyMIBR.GC,1563,1.25,231.3,1.33,0.8,149.9,0.84,0.4,0.63,0.09,0.06,0.37,0.17,2024
sokoEXG.GC,743,1.25,265.2,1.34,0.72,173.7,0.93,0.22,0.69,0.17,0.1,0.32,0.13,2024
Kaah2G.GC,648,1.25,217.5,1.35,0.79,136.8,0.8,0.34,0.59,0.08,0.07,0.3,0.41,2024
ryujin,291,1.25,285.3,1.25,0.73,187.2,0.94,0.27,0.76,0.19,0.17,0.28,0.1,2024
shiraziXIP.GC,983,1.25,221.5,1.44,0.81,149.5,0.78,0.34,0.55,0.09,0.06,0.21,0.21,2024
